pagina,url,instancia,form_id_esperado,form_id_en_pagina,form_id_registrado,fecha_hora,correo_prueba,ronda3_ejecutada,R1_renderiza,R2_campos,R3_envio,R4_confirmacion,R5_clausula_datos,H1_contacto,H2_atribucion,H3_programa,H4_activador,H5_disparo,H6_marca,H7_definicion,caso,severidad,accion,quien,observacion
curso-de-marketing-digital,https://udeponline.pe/curso-de-marketing-digital/,banner,b6e43bcf-a7cc-4b9e-ae6c-1087963599b3,b6e43bcf-a7cc-4b9e-ae6c-1087963599b3,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,SIN_VALOR,OK,PENDIENTE,NO_VERIFICABLE_POR_API,"propiedades distintas a la plantilla: faltan ['cursos_piura__udn_udep_', 'mensaje'], sobran ['cursos_piura', 'message'] | etiqueta de lastname: 'Apellidos' (plantilla: 'Apellido') | obligatoriedad de phone: False (plantilla: True) | etiqueta de email: 'Correo' (plantilla: 'Email') | propiedad sin sufijo __udn_udep_: ['cursos_piura'] | escribe en la propiedad generica 'message' en vez de 'mensaje': el dato no llega junto al del resto | sin encabezado '¿QUIERES MÁS INFORMACIÓN?' en el formulario",B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,sin clausula de autorizacion de datos; mensaje de confirmacion distinto o vacio: ''; el campo oculto de programa no tiene valor por defecto: el lead entra sin programa
curso-de-marketing-digital,https://udeponline.pe/curso-de-marketing-digital/,modal,b6e43bcf-a7cc-4b9e-ae6c-1087963599b3,b6e43bcf-a7cc-4b9e-ae6c-1087963599b3,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,SIN_VALOR,OK,PENDIENTE,NO_VERIFICABLE_POR_API,"propiedades distintas a la plantilla: faltan ['cursos_piura__udn_udep_', 'mensaje'], sobran ['cursos_piura', 'message'] | etiqueta de lastname: 'Apellidos' (plantilla: 'Apellido') | obligatoriedad de phone: False (plantilla: True) | etiqueta de email: 'Correo' (plantilla: 'Email') | propiedad sin sufijo __udn_udep_: ['cursos_piura'] | escribe en la propiedad generica 'message' en vez de 'mensaje': el dato no llega junto al del resto | sin encabezado '¿QUIERES MÁS INFORMACIÓN?' en el formulario",B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,sin clausula de autorizacion de datos; mensaje de confirmacion distinto o vacio: ''; el campo oculto de programa no tiene valor por defecto: el lead entra sin programa
curso-de-negociacion-y-resolucion-de-conflictos,https://udeponline.pe/curso-de-negociacion-y-resolucion-de-conflictos/,banner,51477554-b683-4fb1-99c3-9b063b68c3a3,51477554-b683-4fb1-99c3-9b063b68c3a3,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Negociación y Resolución de Conflictos'
curso-de-negociacion-y-resolucion-de-conflictos,https://udeponline.pe/curso-de-negociacion-y-resolucion-de-conflictos/,modal,51477554-b683-4fb1-99c3-9b063b68c3a3,51477554-b683-4fb1-99c3-9b063b68c3a3,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Negociación y Resolución de Conflictos'
curso-de-negocios-e-commerce,https://udeponline.pe/curso-de-negocios-e-commerce/,banner,66f1f7d0-79f6-4ef5-8796-4d0e41e3db89,66f1f7d0-79f6-4ef5-8796-4d0e41e3db89,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,SIN_VALOR,OK,PENDIENTE,NO_VERIFICABLE_POR_API,etiqueta de lastname: 'Apellidos' (plantilla: 'Apellido') | obligatoriedad de phone: False (plantilla: True) | etiqueta de email: 'Correo' (plantilla: 'Email') | etiqueta de cursos_piura__udn_udep_: 'Cursos Piura (UDN UDEP)' (plantilla: 'Cursos Piura') | sin encabezado '¿QUIERES MÁS INFORMACIÓN?' en el formulario,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,sin clausula de autorizacion de datos; mensaje de confirmacion distinto o vacio: ''; el campo oculto de programa no tiene valor por defecto: el lead entra sin programa
curso-de-negocios-e-commerce,https://udeponline.pe/curso-de-negocios-e-commerce/,modal,66f1f7d0-79f6-4ef5-8796-4d0e41e3db89,66f1f7d0-79f6-4ef5-8796-4d0e41e3db89,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,SIN_VALOR,OK,PENDIENTE,NO_VERIFICABLE_POR_API,etiqueta de lastname: 'Apellidos' (plantilla: 'Apellido') | obligatoriedad de phone: False (plantilla: True) | etiqueta de email: 'Correo' (plantilla: 'Email') | etiqueta de cursos_piura__udn_udep_: 'Cursos Piura (UDN UDEP)' (plantilla: 'Cursos Piura') | sin encabezado '¿QUIERES MÁS INFORMACIÓN?' en el formulario,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,sin clausula de autorizacion de datos; mensaje de confirmacion distinto o vacio: ''; el campo oculto de programa no tiene valor por defecto: el lead entra sin programa
curso-de-negocios-innovadores,https://udeponline.pe/curso-de-negocios-innovadores/,banner,a44b1d7f-6c25-4797-a134-6e4581722480,a44b1d7f-6c25-4797-a134-6e4581722480,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Negocios Innovadores'
curso-de-negocios-innovadores,https://udeponline.pe/curso-de-negocios-innovadores/,modal,a44b1d7f-6c25-4797-a134-6e4581722480,a44b1d7f-6c25-4797-a134-6e4581722480,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Negocios Innovadores'
curso-de-transformacion-digital,https://udeponline.pe/curso-de-transformacion-digital/,banner,179df4f7-4389-45b3-9550-8cf9d6ac1c09,179df4f7-4389-45b3-9550-8cf9d6ac1c09,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Transformación Digital'
curso-de-transformacion-digital,https://udeponline.pe/curso-de-transformacion-digital/,modal,179df4f7-4389-45b3-9550-8cf9d6ac1c09,179df4f7-4389-45b3-9550-8cf9d6ac1c09,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Transformación Digital'
