pagina,url,instancia,formId_en_la_pagina,apunta_hoy_a_nombre_real_hubspot,programa_que_envia_el_formulario,formId_canon,nombre_en_canon,fila_canon,canon_encontrado_por,coincide_con_canon,veredicto,formId_que_debe_quedar,accion,detalle
programa-de-especializacion-en-liderazgo-y-felicidad-organizacional,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-felicidad-organizacional/,hero,81e1fd4a-6992-4150-9153-ca6bcb9ad986,PIURA: PDE en Liderazgo y Felicidad Organizacional (UDN UDEP),Marketing Digital y Ecommerce,81e1fd4a-6992-4150-9153-ca6bcb9ad986,Programa de Especialización en Liderazgo y Felicidad Organizacional,17,url,SI,COINCIDE,81e1fd4a-6992-4150-9153-ca6bcb9ad986,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-liderazgo-y-felicidad-organizacional,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-felicidad-organizacional/,modal,81e1fd4a-6992-4150-9153-ca6bcb9ad986,PIURA: PDE en Liderazgo y Felicidad Organizacional (UDN UDEP),Marketing Digital y Ecommerce,81e1fd4a-6992-4150-9153-ca6bcb9ad986,Programa de Especialización en Liderazgo y Felicidad Organizacional,17,url,SI,COINCIDE,81e1fd4a-6992-4150-9153-ca6bcb9ad986,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-liderazgo-y-gestion-del-talento,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-gestion-del-talento/,hero,c207918c-7869-42f2-96f7-76a963123ef5,PIURA: PDE en Liderazgo y Gestión del Talento (UDN UDEP),Marketing Digital y Ecommerce,c207918c-7869-42f2-96f7-76a963123ef5,Programa de Especialización en Liderazgo y Gestión del Talento,2,url,SI,COINCIDE,c207918c-7869-42f2-96f7-76a963123ef5,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-liderazgo-y-gestion-del-talento,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-gestion-del-talento/,modal,c207918c-7869-42f2-96f7-76a963123ef5,PIURA: PDE en Liderazgo y Gestión del Talento (UDN UDEP),Marketing Digital y Ecommerce,c207918c-7869-42f2-96f7-76a963123ef5,Programa de Especialización en Liderazgo y Gestión del Talento,2,url,SI,COINCIDE,c207918c-7869-42f2-96f7-76a963123ef5,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-liderazgo-y-negociacion-de-conflictos,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-negociacion-de-conflictos/,hero,84f82226-d1c2-43aa-b4e9-da20f43c0548,Liderazgo y Negociación de Conflictos Piura (UDN UDEP),Marketing Digital y Ecommerce,43632e61-2706-46fe-bc8a-1638b6bfc01e,Gestión del Talento y Negociación de Conflictos,3,url,NO,FALSA ALARMA DEL CANON,84f82226-d1c2-43aa-b4e9-da20f43c0548,nada: el formId de la pagina es el correcto; corregir la planilla (fila 3): su ID 43632e61 resuelve a 'PIURA: PDE en Liderazgo y Negociación de Conflictos (UDN UDE',"el sitio usa 'Liderazgo y Negociación de Conflictos Piura (UDN UDEP)', que corresponde a la pagina; el canon dice 43632e61 = 'PIURA: PDE en Liderazgo y Negociación de Conflictos (UDN UDE'"
programa-de-especializacion-en-liderazgo-y-negociacion-de-conflictos,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-negociacion-de-conflictos/,modal,84f82226-d1c2-43aa-b4e9-da20f43c0548,Liderazgo y Negociación de Conflictos Piura (UDN UDEP),Marketing Digital y Ecommerce,43632e61-2706-46fe-bc8a-1638b6bfc01e,Gestión del Talento y Negociación de Conflictos,3,url,NO,FALSA ALARMA DEL CANON,84f82226-d1c2-43aa-b4e9-da20f43c0548,nada: el formId de la pagina es el correcto; corregir la planilla (fila 3): su ID 43632e61 resuelve a 'PIURA: PDE en Liderazgo y Negociación de Conflictos (UDN UDE',"el sitio usa 'Liderazgo y Negociación de Conflictos Piura (UDN UDEP)', que corresponde a la pagina; el canon dice 43632e61 = 'PIURA: PDE en Liderazgo y Negociación de Conflictos (UDN UDE'"
programa-de-especializacion-en-liderazgo-y-transformacion-digital,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-transformacion-digital/,hero,1117d061-5d64-4497-9ce3-e3aff834e996,PIURA: PDE en Liderazgo y Transformación Digital (UDN UDEP),Marketing Digital y Ecommerce,1117d061-5d64-4497-9ce3-e3aff834e996,Programa de Especialización en Liderazgo y Transformación Digital,4,url,SI,COINCIDE,1117d061-5d64-4497-9ce3-e3aff834e996,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-liderazgo-y-transformacion-digital,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-transformacion-digital/,modal,1117d061-5d64-4497-9ce3-e3aff834e996,PIURA: PDE en Liderazgo y Transformación Digital (UDN UDEP),Marketing Digital y Ecommerce,1117d061-5d64-4497-9ce3-e3aff834e996,Programa de Especialización en Liderazgo y Transformación Digital,4,url,SI,COINCIDE,1117d061-5d64-4497-9ce3-e3aff834e996,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-marketing-digital-y-business-model,https://udeponline.pe/programa-de-especializacion-en-marketing-digital-y-business-model/,hero,f49da541-6cda-489e-98cf-985b7b3dc1b8,Marketing Digital y Business Model Piura (UDN UDEP),Marketing Digital y Ecommerce,f49da541-6cda-489e-98cf-985b7b3dc1b8,Programa de Especialización en Marketing Digital y Business Model,12,url,SI,COINCIDE,f49da541-6cda-489e-98cf-985b7b3dc1b8,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-marketing-digital-y-business-model,https://udeponline.pe/programa-de-especializacion-en-marketing-digital-y-business-model/,modal,f49da541-6cda-489e-98cf-985b7b3dc1b8,Marketing Digital y Business Model Piura (UDN UDEP),Marketing Digital y Ecommerce,f49da541-6cda-489e-98cf-985b7b3dc1b8,Programa de Especialización en Marketing Digital y Business Model,12,url,SI,COINCIDE,f49da541-6cda-489e-98cf-985b7b3dc1b8,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-marketing-digital-y-e-commerce,https://udeponline.pe/programa-de-especializacion-en-marketing-digital-y-e-commerce/,hero,cd64140f-f93d-4265-8222-426ad8dfc3d8,PIURA: PDE en Marketing Digital y E-commerce (UDN UDEP),Marketing Digital y Ecommerce,cd64140f-f93d-4265-8222-426ad8dfc3d8,Programa de Especialización en Marketing Digital y E-commerce,10,url,SI,COINCIDE,cd64140f-f93d-4265-8222-426ad8dfc3d8,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-marketing-digital-y-e-commerce,https://udeponline.pe/programa-de-especializacion-en-marketing-digital-y-e-commerce/,modal,cd64140f-f93d-4265-8222-426ad8dfc3d8,PIURA: PDE en Marketing Digital y E-commerce (UDN UDEP),Marketing Digital y Ecommerce,cd64140f-f93d-4265-8222-426ad8dfc3d8,Programa de Especialización en Marketing Digital y E-commerce,10,url,SI,COINCIDE,cd64140f-f93d-4265-8222-426ad8dfc3d8,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-modelo-de-negocios-digitales-y-business-intelligence,https://udeponline.pe/programa-de-especializacion-en-modelo-de-negocios-digitales-y-business-intelligence/,hero,b8164bf0-4166-46aa-8760-5cb87ebd8888,PDE en Modelo de Negocios Digitales y Business Intelligence,Marketing Digital y Ecommerce,b8164bf0-4166-46aa-8760-5cb87ebd8888,Programa de Especialización en Modelo de Negocios Digitales y Business Intelligence,6,url,SI,COINCIDE,b8164bf0-4166-46aa-8760-5cb87ebd8888,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-modelo-de-negocios-digitales-y-business-intelligence,https://udeponline.pe/programa-de-especializacion-en-modelo-de-negocios-digitales-y-business-intelligence/,modal,b8164bf0-4166-46aa-8760-5cb87ebd8888,PDE en Modelo de Negocios Digitales y Business Intelligence,Marketing Digital y Ecommerce,b8164bf0-4166-46aa-8760-5cb87ebd8888,Programa de Especialización en Modelo de Negocios Digitales y Business Intelligence,6,url,SI,COINCIDE,b8164bf0-4166-46aa-8760-5cb87ebd8888,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-modelo-de-negocios-y-transformacion-digital,https://udeponline.pe/programa-de-especializacion-en-modelo-de-negocios-y-transformacion-digital/,hero,5878cd5d-839e-4146-bc79-725360097a74,PIURA: PDE en Modelo de Negocios y Transformación Digital (UDN UDEP),Marketing Digital y Ecommerce,5878cd5d-839e-4146-bc79-725360097a74,Programa de Especialización en Modelo de Negocios y Transformación Digital,18,url,SI,COINCIDE,5878cd5d-839e-4146-bc79-725360097a74,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-modelo-de-negocios-y-transformacion-digital,https://udeponline.pe/programa-de-especializacion-en-modelo-de-negocios-y-transformacion-digital/,modal,5878cd5d-839e-4146-bc79-725360097a74,PIURA: PDE en Modelo de Negocios y Transformación Digital (UDN UDEP),Marketing Digital y Ecommerce,5878cd5d-839e-4146-bc79-725360097a74,Programa de Especialización en Modelo de Negocios y Transformación Digital,18,url,SI,COINCIDE,5878cd5d-839e-4146-bc79-725360097a74,nada: el formId de la pagina es el correcto,
