pagina,url,tipo,formId_banner,formId_modal,incrustaciones_en_html,formId_esperado_inventario_15sep,banner_coincide,modal_coincide,nombre_formulario_segun_hubspot,formulario_corresponde_a_la_pagina,programa_que_envia_el_formulario,programa_que_deberia_enviar,programa_coincide,activador_segun_hubspot,formId_que_debe_ir_en_la_pagina,vicente_debe_repuntar,accion,observacion
diplomado-en-marketing-digital-y-analitica,https://udeponline.pe/diplomado-en-marketing-digital-y-analitica/,diplomado,36b4d47d-ccc6-4c5f-add9-b6477706ad65,36b4d47d-ccc6-4c5f-add9-b6477706ad65,2,36b4d47d-ccc6-4c5f-add9-b6477706ad65,SI,SI,PIURA: DiplomadoMarketing Digital y Analítica (UDN UDEP),SI,Marketing Digital y Ecommerce,Diplomado Marketing Digital y Analítica,NO,0305. Activador Diplomados Piura (UDN UDEP),36b4d47d-ccc6-4c5f-add9-b6477706ad65,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
diplomado-en-marketing-digital-y-ecommerce,https://udeponline.pe/diplomado-en-marketing-digital-y-ecommerce/,diplomado,243be113-191b-4e14-92a7-1636105d46f4,243be113-191b-4e14-92a7-1636105d46f4,2,243be113-191b-4e14-92a7-1636105d46f4,SI,SI,PIURA: Diplomado en Marketing Digital y Ecommerce (UDN UDEP),SI,Marketing Digital y Ecommerce,Diplomado en Marketing Digital y Ecommerce,NO,0302. Activador Cluster Marketing Digital Piura (UDN UDEP),243be113-191b-4e14-92a7-1636105d46f4,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa; revisar cluster del Activador
programa-de-especializacion-en-comunicacion-efectiva-y-gestion-de-equipos-de-alto-rendimiento,https://udeponline.pe/programa-de-especializacion-en-comunicacion-efectiva-y-gestion-de-equipos-de-alto-rendimiento/,programa,523d3530-c6c2-415d-a587-096a58a3f71f,523d3530-c6c2-415d-a587-096a58a3f71f,2,523d3530-c6c2-415d-a587-096a58a3f71f,SI,SI,Comunicación Efectiva y Gestión de Equipos de Alto Rendimiento Piura  (UDN UDEP),SI,Marketing Digital y Ecommerce,Comunicación Efectiva y Gestión de Equipos de Alto Rendimiento,NO,0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP),523d3530-c6c2-415d-a587-096a58a3f71f,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
programa-de-especializacion-en-comunicacion-efectiva-y-gestion-del-talento,https://udeponline.pe/programa-de-especializacion-en-comunicacion-efectiva-y-gestion-del-talento/,programa,d60e69e9-97ee-4b86-beee-2447c8305fff,d60e69e9-97ee-4b86-beee-2447c8305fff,2,d60e69e9-97ee-4b86-beee-2447c8305fff,SI,SI,PIURA: PDE en Comunicación efectiva y Gestión del Talento ,SI,Marketing Digital y Ecommerce,Comunicación Efectiva y Gestión del Talento,NO,0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP),d60e69e9-97ee-4b86-beee-2447c8305fff,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
programa-de-especializacion-en-felicidad-organizacional-y-gestion-de-equipos-de-alto-rendimiento,https://udeponline.pe/programa-de-especializacion-en-felicidad-organizacional-y-gestion-de-equipos-de-alto-rendimiento/,programa,fb1d6938-aed4-44b8-bc70-03d1379f0712,fb1d6938-aed4-44b8-bc70-03d1379f0712,2,fb1d6938-aed4-44b8-bc70-03d1379f0712,SI,SI,PIURA: PDE en Felicidad Organizacional y Gestión de Equipos de Alto Rendimiento (UDN UDEP),SI,Marketing Digital y Ecommerce,Felicidad Organizacional y Gestion de Equipos de Alto Rendimiento,NO,0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP),fb1d6938-aed4-44b8-bc70-03d1379f0712,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
programa-de-especializacion-en-felicidad-organizacional-y-inteligencia-emocional,https://udeponline.pe/programa-de-especializacion-en-felicidad-organizacional-y-inteligencia-emocional/,programa,72e670fc-a6d3-4ef1-a735-987515c286d6,72e670fc-a6d3-4ef1-a735-987515c286d6,2,72e670fc-a6d3-4ef1-a735-987515c286d6,SI,SI,PIURA: PDE en Felicidad Organizacional e Inteligencia Emocional (UDN UDEP),SI,Marketing Digital y Ecommerce,Felicidad Organizacional e Inteligencia Emocional,NO,0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP),72e670fc-a6d3-4ef1-a735-987515c286d6,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
programa-de-especializacion-en-felicidad-y-desarrollo-organizacional,https://udeponline.pe/programa-de-especializacion-en-felicidad-y-desarrollo-organizacional/,programa,be719c32-c6ca-4e4c-ae56-e748f2edeb3a,be719c32-c6ca-4e4c-ae56-e748f2edeb3a,2,be719c32-c6ca-4e4c-ae56-e748f2edeb3a,SI,SI,PIURA: PDE en Felicidad y Desarrollo Organizacional (UDN UDEP),SI,Marketing Digital y Ecommerce,Felicidad y Desarrollo Organizacional,NO,0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP),be719c32-c6ca-4e4c-ae56-e748f2edeb3a,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
programa-de-especializacion-en-gestion-del-cambio-y-negociacion-de-conflictos,https://udeponline.pe/programa-de-especializacion-en-gestion-del-cambio-y-negociacion-de-conflictos/,programa,9359c5fb-9bf0-49ff-8048-d44d56eddeb1,9359c5fb-9bf0-49ff-8048-d44d56eddeb1,2,9359c5fb-9bf0-49ff-8048-d44d56eddeb1,SI,SI,PIURA: PDE en Gestión del Cambio y Negociación de Conflictos (UDN UDEP),SI,Marketing Digital y Ecommerce,Gestión del Cambio y Negociación de Conflictos,NO,0307. Activador Cluster Emprendimiento Innovación y Tecnología (UDN UDEP),9359c5fb-9bf0-49ff-8048-d44d56eddeb1,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa; revisar cluster del Activador
programa-de-especializacion-en-gestion-del-talento-y-negociacion-de-conflictos,https://udeponline.pe/programa-de-especializacion-en-gestion-del-talento-y-negociacion-de-conflictos/,programa,0c7b3436-4cc6-4ada-91ea-76b82d1e64ed,0c7b3436-4cc6-4ada-91ea-76b82d1e64ed,2,0c7b3436-4cc6-4ada-91ea-76b82d1e64ed,SI,SI,PIURA: PDE en Gestión del Talento y Negociación de Conflictos,SI,Marketing Digital y Ecommerce,Gestión de Talento y Negociación de Conflictos,NO,0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP),0c7b3436-4cc6-4ada-91ea-76b82d1e64ed,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
programa-de-especializacion-en-habilidades-para-la-gestion-de-equipos,https://udeponline.pe/programa-de-especializacion-en-habilidades-para-la-gestion-de-equipos/,programa,78d79e2c-ef41-47b8-a76f-16c67851c99e,78d79e2c-ef41-47b8-a76f-16c67851c99e,2,78d79e2c-ef41-47b8-a76f-16c67851c99e,SI,SI,PIURA: PDE en Habilidades para la Gestión de Equipos (UDN UDEP),SI,Marketing Digital y Ecommerce,Habilidades para la Gestión de Equipos,NO,0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP),78d79e2c-ef41-47b8-a76f-16c67851c99e,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
